MySQL [soybase]> select QTLName,db_accn FROM qtl_xref_table WHERE db_id='TO';
+--------------------------------------+-------------+
| QTLName                              | db_accn     |
| Pod maturity 9-2                     | TO:0002633  |
| Pod maturity 9-3                     | TO:0002633  |
| Pod maturity 10-1                    | TO:0002633  |
| Pod maturity 10-2                    | TO:0002633  |
| Pod maturity 10-3                    | TO:0002633  |
| Pod maturity 10-4                    | TO:0002633  |
| Pod maturity 11-1                    | TO:0002633  |
| Pod maturity 12-1                    | TO:0002633  |
| Pod maturity 13-1                    | TO:0002633  |
| Pod maturity 13-2                    | TO:0002633  |
| Pod maturity 13-3                    | TO:0002633  |
| Pod maturity 13-4                    | TO:0002633  |
| Pod maturity 13-5                    | TO:0002633  |
| Pod maturity 13-6                    | TO:0002633  |
| Pod maturity 13-7                    | TO:0002633  |
| Pod maturity 13-8                    | TO:0002633  |
| Seed protein 1-1                     | TO:0000598  |
| Seed protein 1-2                     | TO:0000598  |
| Seed protein 1-3                     | TO:0000598  |
| Seed protein 1-4                     | TO:0000598  |
| Seed protein 1-5                     | TO:0000598  |
| Seed protein 1-6                     | TO:0000598  |
| Seed protein 1-7                     | TO:0000598  |
| Seed protein 1-8                     | TO:0000598  |
| Seed protein 2-1                     | TO:0000598  |
| Seed protein 2-2                     | TO:0000598  |
| Seed protein 2-3                     | TO:0000598  |
| Seed protein 3-1                     | TO:0000598  |
| Seed protein 3-2                     | TO:0000598  |
| Seed protein 3-3                     | TO:0000598  |
| Seed protein 3-4                     | TO:0000598  |
| Seed protein 3-5                     | TO:0000598  |
| Seed protein 3-6                     | TO:0000598  |
| Seed protein 3-7                     | TO:0000598  |
| Seed protein 3-8                     | TO:0000598  |
| Seed protein 3-9                     | TO:0000598  |
| Seed protein 3-10                    | TO:0000598  |
| Seed protein 3-11                    | TO:0000598  |
| Seed protein 3-12                    | TO:0000598  |
| Seed protein 4-1                     | TO:0000598  |
| Seed protein 4-2                     | TO:0000598  |
| Seed protein 4-3                     | TO:0000598  |
| Seed protein 4-4                     | TO:0000598  |
| Seed protein 4-5                     | TO:0000598  |
| Seed protein 4-6                     | TO:0000598  |
| Seed protein 4-7                     | TO:0000598  |
| Seed protein 4-8                     | TO:0000598  |
| Seed protein 4-9                     | TO:0000598  |
| Seed protein 4-10                    | TO:0000598  |
| Seed protein 4-11                    | TO:0000598  |
| Seed protein 4-12                    | TO:0000598  |
| Seed protein 4-13                    | TO:0000598  |
| Seed protein 5-1                     | TO:0000598  |
| Seed protein 5-2                     | TO:0000598  |
| Seed protein 5-3                     | TO:0000598  |
| Seed protein 5-4                     | TO:0000598  |
| Seed protein 5-5                     | TO:0000598  |
| Seed protein 5-6                     | TO:0000598  |
| Seed protein 6-1                     | TO:0000598  |
| Seed protein 6-2                     | TO:0000598  |
| Seed protein 7-1                     | TO:0000598  |
| Seed protein 7-2                     | TO:0000598  |
| Seed protein 8-1                     | TO:0000598  |
| Seed protein 9-1                     | TO:0000598  |
| Seed protein 9-2                     | TO:0000598  |
| Seed protein 10-1                    | TO:0000598  |
| Seed protein 11-1                    | TO:0000598  |
| Seed protein 12-1                    | TO:0000598  |
| Seed protein 12-2                    | TO:0000598  |
| Seed protein 12-3                    | TO:0000598  |
| Seed protein 12-4                    | TO:0000598  |
| Seed protein 12-5                    | TO:0000598  |
| Seed protein 13-1                    | TO:0000598  |
| Seed protein 13-2                    | TO:0000598  |
| Seed protein 13-3                    | TO:0000598  |
| Seed protein 13-4                    | TO:0000598  |
| Seed protein 14-1                    | TO:0000598  |
| Seed protein 15-1                    | TO:0000598  |
| Seed protein 16-1                    | TO:0000598  |
| Seed protein 16-2                    | TO:0000598  |
| Seed protein 17-1                    | TO:0000598  |
| Seed protein 17-2                    | TO:0000598  |
| Seed protein 17-3                    | TO:0000598  |
| Seed protein 17-4                    | TO:0000598  |
| Seed protein 17-5                    | TO:0000598  |
| Seed protein 17-6                    | TO:0000598  |
| Phomopsis seed decay 1-1             | TO:0000439  |
| Phomopsis seed decay 2-1             | TO:0000439  |
| Pod, beginning 1-1                   | TO:0002633  |
| Pod, beginning 1-2                   | TO:0002633  |
| Pod, beginning 1-3                   | TO:0002633  |
| Pod, beginning 2-1                   | TO:0002633  |
| Pod, beginning 2-2                   | TO:0002633  |
| Pod, beginning 2-3                   | TO:0002633  |
| Seed, beginning 1-1                  | TO:0002633  |
| Seed, beginning 1-2                  | TO:0002633  |
| Pod maturity, beginning 1-1          | TO:0002661  |
| Pod maturity, beginning 1-2          | TO:0002661  |
