QTLID	QTLName	LocusName
415	Plant height 6-7	G173_3
416	Plant height 6-8	A295_1
416	Plant height 6-8	G173_1
417	Plant height 6-9	A363_1
417	Plant height 6-9	BLT531_1
418	Plant height 6-10	214H10
418	Plant height 6-10	A397_1
419	Plant height 6-11	BLT004_1
419	Plant height 6-11	L050_7
420	Plant height 6-12	A343_2
420	Plant height 6-12	R079_1
421	Plant height 6-13	A060_1
421	Plant height 6-13	L50dr13
422	Plant height 6-14	BLT007_1
422	Plant height 6-14	G173_3
423	Plant height 7-1	K418_4
424	Plant height 7-2	SOYHSP176
425	Plant height 7-3	A077_2
426	Plant height 8-1	Satt277
427	Plant height 8-2	Satt150
428	Plant height 8-3	Satt527
429	Plant height 8-4	Satt166
430	Plant height 9-1	A489_1
431	Plant height 9-2	Satt373
432	Plant height 9-3	Sat_096
433	Plant height 10-1	Satt489
434	Plant height 10-2	Satt150
435	Plant height 10-3	Satt182
436	Plant height 10-4	G173_1
437	Plant height 11-1	A397_1
437	Plant height 11-1	K418_4
438	Plant height 11-2	cr406_1
439	Plant height 11-3	SOYHSP176
440	Plant height 11-4	A077_2
441	Plant height 12-1	Satt127
442	Plant height 13-1	Satt095
443	Plant height 13-2	Satt489
444	Plant height 13-3	Satt231
445	Plant height 13-4	Ps
446	Plant height 13-5	Satt405
447	Plant height 13-6	L2
448	Plant height 13-7	Satt182
449	Plant height 13-8	Dt1
450	Plant height 13-9	Satt567
451	Plant height 14-1	Satt440
452	Plant height 15-1	Satt337
453	Plant height 16-1	Satt239
454	Pod dehiscence 1-1	BLT049_5
455	Pod dehiscence 1-2	cr324_1
456	Pod dehiscence 1-3	B124_3
457	Pod dehiscence 1-4	cr274_1
458	Pod dehiscence 1-5	B074_1
459	Pod dehiscence 1-6	B166_1
460	Pod dehiscence 1-7	B122_1
461	Pod dehiscence 1-8	K375_1
462	Pod dehiscence 1-9	cr392_1
463	Pod dehiscence 1-10	A489_1
464	Pod dehiscence 1-11	A725_5
465	Pod dehiscence 1-12	A808_3
466	Pod maturity 1-1	K472_1
467	Pod maturity 1-2	R013_2
468	Pod maturity 1-3	K365_1
469	Pod maturity 1-4	K474_1
470	Pod maturity 1-5	K474_2
471	Pod maturity 2-1	A584_3
471	Pod maturity 2-1	R079_1
472	Pod maturity 3-1	R079_1
473	Pod maturity 3-2	A060_2
474	Pod maturity 3-3	A397_1
475	Pod maturity 4-1	Satt079
476	Pod maturity 4-2	R079_1
477	Pod maturity 4-3	Satt006
478	Pod maturity 5-1	B032_2
479	Pod maturity 5-2	R051_2
480	Pod maturity 5-3	B032_2
480	Pod maturity 5-3	CpTI
481	Pod maturity 5-4	N100_1
481	Pod maturity 5-4	R051_2
482	Pod maturity 6-1	BLT043_1
483	Pod maturity 6-2	cr122_1
484	Pod maturity 6-3	A063_1
485	Pod maturity 6-4	EV3_1
486	Pod maturity 6-5	gc197_1
487	Pod maturity 6-6	A338_2
488	Pod maturity 6-7	O109_1
489	Pod maturity 6-8	A280_4
490	Pod maturity 7-1	R079_1
491	Pod maturity 7-2	R183
491	Pod maturity 7-2	R183_1
492	Pod maturity 8-1	Satt365
493	Pod maturity 8-2	Satt150
494	Pod maturity 8-3	Satt527
495	Pod maturity 8-4	Satt166
496	Pod maturity 8-5	Satt578
497	Pod maturity 9-1	Satt287
498	Pod maturity 9-2	A489_1
499	Pod maturity 9-3	Satt373
500	Pod maturity 10-1	Satt489
501	Pod maturity 10-2	Satt567
502	Pod maturity 10-3	Sat_003
503	Pod maturity 10-4	G173_1
504	Pod maturity 11-1	Satt127
505	Pod maturity 12-1	A688_1
506	Pod maturity 13-1	Satt429
507	Pod maturity 13-2	Satt360
508	Pod maturity 13-3	Satt291
509	Pod maturity 13-4	Satt557
510	Pod maturity 13-5	BLT030_1
511	Pod maturity 13-6	Dt1
512	Pod maturity 13-7	Satt150
513	Pod maturity 13-8	Sat_108
514	Seed protein 1-1	K011_1
515	Seed protein 1-2	A407_1
516	Seed protein 1-3	A144_1
517	Seed protein 1-4	A688_1
518	Seed protein 1-5	SAC7_1
519	Seed protein 1-6	A242_1
520	Seed protein 1-7	A023_1
521	Seed protein 1-8	A245_2
522	Seed protein 2-1	T155_1
523	Seed protein 2-2	Satt006
524	Seed protein 2-3	A329_2
525	Seed protein 3-1	A505_1
526	Seed protein 3-2	A109_1
527	Seed protein 3-3	A063_1
528	Seed protein 3-4	A398_1
529	Seed protein 3-5	A691_1
530	Seed protein 3-6	B174_1
531	Seed protein 3-7	K002_1
532	Seed protein 3-8	A816_1
533	Seed protein 3-9	A890_1
534	Seed protein 3-10	A235_1
535	Seed protein 3-11	A069_1
536	Seed protein 3-12	A144_1
537	Seed protein 4-1	gc197_1
538	Seed protein 4-2	EV3_1
539	Seed protein 4-3	A338_2
540	Seed protein 4-4	A463_1
541	Seed protein 4-5	A517_1
542	Seed protein 4-6	cr167_1
543	Seed protein 4-7	B166_1
544	Seed protein 4-8	A071_2
545	Seed protein 4-9	gc34_2
546	Seed protein 4-10	B142_1
547	Seed protein 4-11	A352_1
548	Seed protein 4-12	A199_3
549	Seed protein 4-13	cr274_1
550	Seed protein 5-1	A454_1
551	Seed protein 5-2	A566_2
552	Seed protein 5-3	A065_3
553	Seed protein 5-4	R051_2
554	Seed protein 5-5	Q043_1
555	Seed protein 5-6	A132_4
556	Seed protein 6-1	B072_1
557	Seed protein 6-2	B148_1
558	Seed protein 7-1	R079_1
559	Seed protein 7-2	Satt578
560	Seed protein 8-1	Satt166
561	Seed protein 9-1	T155_1
562	Seed protein 9-2	SOYGPATR
563	Seed protein 10-1	Satt127
564	Seed protein 11-1	A144_1
565	Seed protein 12-1	B170_1
566	Seed protein 12-2	K001_1
567	Seed protein 12-3	Satt178
568	Seed protein 12-4	Satt567
569	Seed protein 12-5	Satt478
570	Seed protein 13-1	Satt077
571	Seed protein 13-2	Sct_028
572	Seed protein 13-3	Satt567
573	Seed protein 13-4	Satt196
574	Seed protein 14-1	Ti
575	Seed protein 15-1	Satt239
575	Seed protein 15-1	Satt496
576	Seed protein 16-1	Satt251
577	Seed protein 16-2	Satt373
584	Phomopsis seed decay 1-1	A708_1
585	Phomopsis seed decay 2-1	A708_1
586	Pod, beginning 1-1	P029_1
586	Pod, beginning 1-1	Satt205
587	Pod, beginning 1-2	Satt380
588	Pod, beginning 1-3	Satt228
588	Pod, beginning 1-3	Satt378
589	Pod, beginning 2-1	Satt205
589	Pod, beginning 2-1	Satt286
590	Pod, beginning 2-2	Satt276
591	Pod, beginning 2-3	Satt182
592	Seed, beginning 1-1	A397_1
592	Seed, beginning 1-1	BLT029_1
593	Seed, beginning 1-2	A385_1
593	Seed, beginning 1-2	G173_1
594	Pod maturity, beginning 1-1	P029_1
594	Pod maturity, beginning 1-1	Satt205
595	Pod maturity, beginning 1-2	Satt380
596	Pod maturity, beginning 1-3	Satt228
596	Pod maturity, beginning 1-3	Satt378
597	Pod maturity, beginning 2-1	Satt205
597	Pod maturity, beginning 2-1	Satt286
598	Pod maturity, beginning 2-2	Satt276
599	Reproductive stage length 1-1	G173_1
600	Reproductive stage length 1-2	R079_1
601	Reproductive stage length 2-1	Satt150
602	Reproductive stage length 2-2	G214_24
603	Reproductive stage length 3-1	Satt287
604	Reproductive stage length 3-2	A489_1
605	Reproductive stage length 3-3	Satt373
606	Reproductive stage length 3-4	Sat_077
607	Reproductive stage length 4-1	L199_2
608	Reproductive stage length 4-2	Satt489
609	Reproductive stage length 4-3	Satt567
610	Reproductive stage length 4-4	K644_1
611	Reproductive stage length 4-5	Sat_099
612	Reproductive stage length 4-6	Dt1
613	Sclero 1-1	OW13_900
614	Sclero 1-2	A226_1
615	Sclero 1-3	Satt046
616	Sclero 1-4	OAA09_600
617	Sclero 1-5	OAA15_750
618	Sclero 1-6	OW13_900
618	Sclero 1-6	Satt046
619	Sclero 1-7	OX03_510
620	Sclero 1-8	OQ18_550
621	Sclero 2-1	Satt545
622	Sclero 2-2	Satt424
623	Sclero 2-3	Satt233
624	Sclero 2-4	Satt070
625	Sclero 2-5	Satt129
625	Sclero 2-5	Satt147
626	Sclero 2-6	Satt172
