#QTLName	OntologyIdentifier
First flower 8-3	PO:0007016
First flower 8-3	PO:0009046
First flower 8-3	TO:0000369
First flower 8-4	PO:0007016
First flower 8-4	PO:0009046
First flower 8-4	TO:0000369
First flower 9-1	PO:0007016
First flower 9-1	PO:0009046
First flower 9-1	TO:0000369
First flower 9-2	PO:0007016
First flower 9-2	PO:0009046
First flower 9-2	TO:0000369
First flower 9-3	PO:0007016
First flower 9-3	PO:0009046
First flower 9-3	TO:0000369
Flood tolerance 1-1	GO:0009413
Flood tolerance 1-1	PO:0000003
Flood tolerance 1-1	TO:0000286
Flood tolerance 2-1	GO:0009413
Flood tolerance 2-1	PO:0000003
Flood tolerance 2-1	TO:0000286
Flood tolerance 3-1	GO:0009413
Flood tolerance 3-1	PO:0000003
Flood tolerance 3-1	TO:0000286
Flood tolerance 3-2	GO:0009413
Flood tolerance 3-2	PO:0000003
Flood tolerance 3-2	TO:0000286
Flood tolerance 4-1	GO:0009413
Flood tolerance 4-1	PO:0000003
Flood tolerance 4-1	TO:0000286
Flood tolerance 4-10	GO:0009413
Flood tolerance 4-10	PO:0000003
Flood tolerance 4-10	TO:0000286
Flood tolerance 4-11	GO:0009413
Flood tolerance 4-11	PO:0000003
Flood tolerance 4-11	TO:0000286
Flood tolerance 4-12	GO:0009413
Flood tolerance 4-12	PO:0000003
Flood tolerance 4-12	TO:0000286
Flood tolerance 4-13	GO:0009413
Flood tolerance 4-13	PO:0000003
Flood tolerance 4-13	TO:0000286
Flood tolerance 4-14	GO:0009413
Flood tolerance 4-14	PO:0000003
Flood tolerance 4-14	TO:0000286
Flood tolerance 4-2	GO:0009413
Flood tolerance 4-2	PO:0000003
Flood tolerance 4-2	TO:0000286
Flood tolerance 4-3	GO:0009413
Flood tolerance 4-3	PO:0000003
Flood tolerance 4-3	TO:0000286
Flood tolerance 4-4	GO:0009413
Flood tolerance 4-4	PO:0000003
Flood tolerance 4-4	TO:0000286
Flood tolerance 4-5	GO:0009413
Flood tolerance 4-5	PO:0000003
Flood tolerance 4-5	TO:0000286
Flood tolerance 4-6	GO:0009413
Flood tolerance 4-6	PO:0000003
Flood tolerance 4-6	TO:0000286
Flood tolerance 4-7	GO:0009413
Flood tolerance 4-7	PO:0000003
Flood tolerance 4-7	TO:0000286
Flood tolerance 4-8	GO:0009413
Flood tolerance 4-8	PO:0000003
Flood tolerance 4-8	TO:0000286
Flood tolerance 4-9	GO:0009413
Flood tolerance 4-9	PO:0000003
Flood tolerance 4-9	TO:0000286
Flood tolerance 6-1	GO:0009413
Flood tolerance 6-1	PO:0000003
Flood tolerance 6-1	TO:0000286
Flood tolerance 6-2	GO:0009413
Flood tolerance 6-2	PO:0000003
Flood tolerance 6-2	TO:0000286
Flood tolerance 6-3	GO:0009413
Flood tolerance 6-3	PO:0000003
Flood tolerance 6-3	TO:0000286
Flood tolerance 6-4	GO:0009413
Flood tolerance 6-4	PO:0000003
Flood tolerance 6-4	TO:0000286
Flood tolerance 6-5	GO:0009413
Flood tolerance 6-5	PO:0000003
Flood tolerance 6-5	TO:0000286
Flood tolerance 7-1	GO:0009413
Flood tolerance 7-1	PO:0000003
Flood tolerance 7-1	TO:0000286
Flood tolerance 7-2	GO:0009413
Flood tolerance 7-2	PO:0000003
Flood tolerance 7-2	TO:0000286
Flood tolerance 7-3	GO:0009413
Flood tolerance 7-3	PO:0000003
Flood tolerance 7-3	TO:0000286
Flood tolerance 7-4	GO:0009413
Flood tolerance 7-4	PO:0000003
Flood tolerance 7-4	TO:0000286
Flooding yield index 1-1	GO:0009413
Flooding yield index 1-1	PO:0000003
Flooding yield index 1-1	TO:0000286
Flooding yield index 1-2	GO:0009413
Flooding yield index 1-2	PO:0000003
Flooding yield index 1-2	TO:0000286
Flooding yield index 1-3	GO:0009413
